538;60915;Hochschule Hildesheim/Holzminden/Göttingen (FH);6
539;60940;Fachhochschule für die Wirtschaft Hannover (FHDW) (Priv. FH);6
540;60935;Private Hochschule Göttingen (Priv. FH);6
541;60950;H für Wirtschaft und Technik Vechta/Diepholz (Priv. FH);6
543;60945;FH Ottersberg (Priv. FH);6
550;60925;Hochschule Osnabrück (FH);6
566;60510;H Bremerhaven (FH);6
567;70505;H für öffentliche Verwaltung Bremen (Verw-FH);7
568;60505;H Bremen (FH);6
569;61054;International School of Management Dortmund in Dortmund und Köln (Priv. FH);6
570;61021;Westfälische H in Gelsenkirchen/Bocholt/Recklinghausen (FH) ;6
571;61003;FH Aachen;6
572;61039;IU Intern. Hochschule Erfurt in Bad Honnef,Dortmund,Düsseldorf,Essen,Köln und Münster (Priv. FH);6
573;61006;Hochschule Bielefeld (FH);6
575;61009;Hochschule Bochum (FH);6
577;61015;FH Dortmund;6
578;61018;H Düsseldorf (FH);6
580;61063;University of Europe for Applied Sciences Potsdam in Iserlohn (Priv. FH);6
582;61042;FH des Mittelstandes in Bielefeld, Köln und Frechen (Priv. FH);6
583;61024;Technische Hochschule Köln (FH) ;6
584;61033;H Niederrhein (FH);6
586;61027;TH Ostwestfalen-Lippe in Lemgo/Detmold/Höxter (FH);6
589;61030;FH Münster;6
590;61072;FH der Wirtschaft Paderborn (Priv. FH);6
598;61045;TH Georg Agricola Bochum (Priv. FH);6
599;61069;Rheinische Hochschule Köln (Priv. FH);6
600;61075;Evang. Hochschule Rheinland-Westfalen-Lippe, Bochum (Kirchl. FH);6
603;61078;Kath. Hochschule Nordrhein-Westfalen (Kirchl. FH);6
607;71015;Hochschule für Polizei und öffentliche Verwaltung NW (Verw-FH);7
618;71005;FH für Rechtspflege NW in Bad Münstereifel (Verw-FH);7
619;71010;Hochschule für Finanzen Nordrhein-Westfalen in Nordkirchen (Verw-FH);7
620;71020;Hochschule des Bundes für öffentliche Verwaltung, Brühl und Münster;7
621;60705;h_da - H Darmstadt (FH);6
622;60710;Frankfurt University of Applied Sciences (FH);6
623;60720;Technische Hochschule Mittelhessen (THM), FH;6
624;60725;Hochschule RheinMain (FH) ;6
627;60760;Evangelische Hochschule Darmstadt (EHD), (Kirchl. FH);6
628;60750;Hochschule Fresenius Idstein in Idstein, Frankfurt und Wiesbaden (Priv. FH);6
629;60715;Hochschule Fulda (FH);6
632;70705;FH für Archivwesen Marburg (Verw-FH);7
633;70710;Hessische Hochschule für Finanzen und Rechtspflege Rotenburg (Verw-FH);7
634;70715;Hessische Hochschule für öffentliches Management und Sicherheit Wiesbaden (Verw-FH);7
636;60730;H der Deutschen Gesetzl. Unfallversicherung, Bad Hersfeld (Priv. FH);6
637;10735;Frankfurt School of Finance & Management-HfB (Priv. U);1
638;71305;Hochschule Meißen (FH) und Fortbildungszentrum (Verw-FH);7
639;60740;Wilhelm Büchner Hochschule Darmstadt (Priv. Fern-FH);6
640;60755;DIPLOMA - FH Nordhessen (Priv. FH);6
641;61051;Europäische FH (EUFH) in Brühl, Köln, Neuss und Rheine (Priv. FH);6
643;60430;Theologische Hochschule Elstal (Kirchl. FH);6
651;61105;Technische Hochschule Bingen (FH);6
652;61110;Hochschule Kaiserslautern (FH);6
653;61115;Hochschule Koblenz (FH);6
658;61130;Hochschule Trier (FH);6
660;61145;Katholische Hochschule Mainz (Kirchl. FH);6
662;71110;Hochschule der Deutschen Bundesbank Hachenburg (Verw-FH);7
663;71115;Hochschule für öffentliche Verwaltung Rheinland-Pfalz (HöV), Mayen;7
664;71105;Hochschule für Finanzen Rheinland-Pfalz (HFin) in Edenkoben (Verw-FH);7
665;61120;Hochschule für Wirtschaft und Gesellschaft Ludwigshafen (FH);6
666;61135;Hochschule Worms (FH);6
667;61125;Hochschule Mainz (FH);6
668;60263;Hochschule für angewandtes Management, Ismaning (Priv. FH);6
669;60745;Provadis School of Intern. Management and Technology, Frankfurt a.M. (Priv. FH);6
671;60103;Hochschule Aalen - Technik und Wirtschaft (FH);6
672;60109;H Biberach a. d. Riss (FH);6
673;60115;H Esslingen (FH);6
674;60118;H Furtwangen (FH);6
675;60121;H Heilbronn (FH);6
676;60124;H Karlsruhe (FH);6
677;60127;H Konstanz (FH);6
678;60132;H Mannheim (FH);6
679;60134;H Nürtingen (FH);6
680;60137;H Offenburg (FH);6
681;60140;H Pforzheim (FH);6
682;60143;H Ravensburg-Weingarten (FH);6
683;60146;H für Technik und Wirtschaft Reutlingen (FH);6
684;60106;H Albstadt-Sigmaringen (FH);6
685;60158;Hochschule für Technik Stuttgart (FH);6
686;60155;FH Stuttgart, H der Medien;6
687;60161;Technische Hochschule Ulm (FH);6
690;60189;Evang. Hochschule Freiburg (Kirchl. FH);6
691;60198;Kath. Hochschule Freiburg i.Br. (Kirchl. FH);6
697;60186;Merz Akademie Hochschule für Gestaltung, Kunst und Medien, Stuttgart (Priv. FH);6
702;60183;AKAD Hochschule Stuttgart (Priv. Fern-FH);6
705;60152;H für Gestaltung Schwäbisch Gmünd (FH);6
706;70105;FH für öffentliche Verwaltung Kehl (Verw-FH);7
707;70110;Hochschule Ludwigsburg für öffentliche Verwaltung und Finanzen (Verw-FH)  ;7
709;60171;SRH Hochschule Heidelberg (Priv. FH);6
711;60149;H für Forstwirtschaft Rottenburg (FH);6
712;70115;FH für Rechtspflege Schwetzingen (Verw-FH)  ;7
714;70120;Staatl. H für Polizei Villingen-Schwenningen (Verw-FH)  ;7
718;60179;SRH Fernhochschule, Riedlingen (Priv. FH);6
719;60195;Evangelische Hochschule Ludwigsburg (Kirchl. FH);6
721;60213;Technische Hochschule Augsburg (FH);6
722;60215;Hochschule für angewandte Wissenschaften Coburg (FH);6
724;60238;Hochschule für angewandte Wissenschaften München (FH);6
725;60244;Technische Hochschule Nürnberg Georg Simon Ohm (FH);6
726;60247;Ostbayerische Technische Hochschule Regensburg (FH);6
730;60250;TH Rosenheim (FH);6
731;60253;H für angewandte Wissenschaften Weihenstephan-Triesdorf (FH);6
735;60257;Technische Hochschule Würzburg-Schweinfurt (THWS) (FH);6
737;60272;Evang. Hochschule Nürnberg (Kirchl. FH);6
738;60275;Katholische Stiftungshochschule München (Kirchl. FH);6
744;60231;Hochschule für angewandte Wissenschaften Kempten (FH);6
745;60234;Hochschule für angewandte Wissenschaften Landshut (FH);6
746;70205;Hochschule für den öffentlichen Dienst in Bayern (Verw-FH);7
752;60220;Technische Hochschule Deggendorf (FH);6
753;60225;Hochschule für angewandte Wissenschaften Hof (FH);6
754;60228;Technische Hochschule Ingolstadt (FH);6
755;60203;Ostbayerische Technische Hochschule Amberg-Weiden (FH);6
756;60206;Hochschule für angewandte Wissenschaften Ansbach (FH);6
757;60241;Hochschule für angewandte Wissenschaften Neu-Ulm (FH);6
758;60266;Munich Business School München (Priv. FH);6
759;60210;TH Aschaffenburg (FH);6
761;61205;H für Technik und Wirtschaft des Saarlandes Saarbrücken (FH);6
763;71205;FH für Verwaltung Saarbrücken (Verw-FH);7
767;60735;accadis Hochschule Bad Homburg (Priv. FH);6
768;60192;Theologisches Seminar Reutlingen (Kirchl. FH);6
769;60315;H für Technik und Wirtschaft Berlin (FH);6
770;60380;Katholische Hochschule für Sozialwesen Berlin (Kirchl. FH);6
771;60310;Berliner Hochschule für Technik (FH);6
772;60320;HWR Berlin (FH);6
773;60305;Alice Salomon Hochschule Berlin (FH);6
775;60370;Evangelische Hochschule Berlin (Kirchl. FH);6
778;60805;Hochschule Neubrandenburg (FH);6
779;60810;Hochschule Stralsund (FH);6
781;61605;FH Erfurt;6
782;61610;Ernst-Abbe-Hochschule Jena (FH);6
783;61620;Hochschule Schmalkalden (FH);6
784;60815;Hochschule Wismar (FH);6
785;70410;FH für Finanzen Brandenburg Königs Wusterhausen (Verw-FH);7
786;71610;Thüringer FH für öffentliche Verwaltung Gotha (Verw-FH)  ;7
788;61615;Hochschule Nordhausen (FH);6
789;70405;Hochschule der Polizei Brandenburg in Oranienburg (Verw-FH);7
790;70805;FH für öffentliche Verwaltung, Polizei und Rechtspflege in Güstrow (Verw-FH);7
791;60405;Technische Hochschule Brandenburg (FH);6
792;60410;Hochschule für nachhaltige Entwicklung Eberswalde (FH);6
794;60425;Technische Hochschule Wildau (FH);6
795;60420;FH Potsdam;6
796;10340;Steinbeis Hochschule in Berlin (Priv. U);1
797;60356;SRH Berlin University of Applied Sciences in Berlin (Priv. FH);6
