HochschuleErsteinschreibung;Sortierschlüssel;Name;Gültig ab;Gültig bis;
3370;;Technische Universität Nürnberg;20211;99999;
3430;;Berufliche Hochschule Hamburg (FH);20212;99999;
3490;;XU Exponential University Potsdam (Priv. FH);20192;99999;
3500;;U Potsdam;20171;99999;
3640;;Gisma University of Applied Sciences Potsdam (Priv. FH);20242;99999;
3660;;PH Freiburg i.Br.;20171;99999;
3670;;PH Heidelberg;20171;99999;
3680;;PH Karlsruhe;20171;99999;
3700;;PH Schwäbisch Gmünd;20171;99999;
3711;;PH Ludwigsburg;20171;99999;
3720;;UoL-University of Labour Frankfurt (Priv. FH) ;20212;99999;
3780;;PH Weingarten;20171;99999;
3790;;Kolping H, Köln (Priv. FH);20212;99999;
3880;;Tomorrow University of Applied Sciences, Frankfurt a. M. (Priv.Fern-FH);20231;99999;
3890;;Humanistische Hochschule Berlin (Priv. FH);20232;99999;
3900;;IFAA Hochschule Ketsch (Priv. FH);20232;99999;
3910;;Medizinische Universität Lausitz - Carl Thiem (MUL), Cottbus;20242;99999;
3950;;Promotionskolleg NRW, Bochum (FH);20222;99999;
3971;;Brandenburgische TU Cottbus-Senftenberg in Cottbus;20171;99999;
3972;;Brandenburgische TU Cottbus-Senftenberg in Senftenberg;20171;99999;
4940;;GU- Deutsche Hochschule für angewandte Wissenschaften, Potsdam (Priv. FH);20231;99999;
4950;;INU - Innovative University of Applied Sciences, Köln (Priv. FH);20241;99999;
4960;;media Akademie - Hochschule Stuttgart (Priv. FH);20171;99999;
4981;;Hochschule Wilhelmshaven/Oldenburg/Elsfleth in Wilhelmshaven (FH);20171;99999;
4982;;Hochschule Wilhelmshaven/Oldenburg/Elsfleth in Oldenburg (FH);20171;99999;
4983;;Hochschule Wilhelmshaven/Oldenburg/Elsfleth in Elsfleth (FH);20171;99999;
4991;;Hochschule Emden/Leer in Emden (FH);20171;99999;
4992;;Hochschule Emden/Leer in Leer (FH);20171;99999;
5010;;Hochschule Flensburg (FH);20171;99999;
5020;;FH Kiel;20171;99999;
5030;;Technische Hochschule Lübeck (FH);20182;99999;
5050;;FH Wedel (Priv. FH);20171;99999;
5061;;FH für Verwaltung und Dienstleistung Altenholz in Altenholz (Verw-FH);20171;99999;
5062;;FH für Verwaltung und Dienstleistung Altenholz in Reinfeld (Verw-FH);20171;99999;
5080;;Muthesius Kunsthochschule Kiel (Kunst-H);20171;99999;
5090;;FH Westküste, Heide;20171;99999;
5100;;Hochschule für Telekommunikation Leipzig (Priv. FH);20171;99999;
5110;;Evangelische Hochschule Dresden in Dresden (Kirchl. FH);20202;99999;
5111;;Evangelische Hochschule Dresden in Moritzburg (Kirchl. FH);20202;99999;
5120;;H für Technik und Wirtschaft Dresden, Hochschule für angewandte Wissenschaften (FH);20171;99999;
5130;;H für Technik, Wirtschaft und Kultur Leipzig, Hochschule für angewandte Wissenschaften (FH);20171;99999;
5140;;H Mittweida (University of Applied Sciences), Hochschule für angewandte Wissenschaften (FH);20171;99999;
5150;;H Zittau/Görlitz, Hochschule für angewandte Wissenschaften (FH);20171;99999;
5151;;H Zittau/Görlitz in Zittau, Hochschule für angewandte Wissenschaften (FH);20171;99999;
5152;;H Zittau/Görlitz in Görlitz, Hochschule für angewandte Wissenschaften (FH);20171;99999;
5160;;Westsächsische H Zwickau, Hochschule für angewandte Wissenschaften (FH);20171;99999;
5161;;Westsächsische H Zwickau in Zwickau, Hochschule für angewandte Wissenschaften (FH);20171;99999;
5162;;Westsächsische H Zwickau in Schneeberg, Hochschule für angewandte Wissenschaften (FH);20171;99999;
5163;;Westsächsische H Zwickau in Reichenbach, Hochschule für angewandte Wissenschaften (FH);20171;99999;
5170;;Evangelische Hochschule Moritzburg (Kirchl. FH);20171;99999;
5190;;H der Sächsischen Polizei (FH) in Rothenburg/OL. (Verw-FH);20181;99999;
5191;;H der Sächsischen Polizei (FH) in Bautzen (Verw-FH) ;20181;99999;
5210;;H für Angewandte Wissenschaften Hamburg (FH);20171;99999;
5220;;HFH Hamburger Fern-H (Priv. FH);20171;99999;
5230;;Evang. H für Soziale Arbeit und Diakonie, Hamburg (Kirchl. FH);20171;99999;
5240;;Akademie der Polizei Hamburg (Verw-FH);20171;99999;
5251;;FH Südwestfalen in Hagen;20171;99999;
5252;;FH Südwestfalen in Iserlohn;20171;99999;
5253;;FH Südwestfalen in Meschede;20171;99999;
5254;;FH Südwestfalen in Soest;20171;99999;
5260;;Europ. Fern-H Hamburg GmbH Hamburg (Priv. FH);20171;99999;
5270;;Mediadesign Hochschule Berlin in Berlin (Priv. FH);20171;99999;
5271;;Mediadesign Hochschule Berlin in München (Priv. FH);20171;99999;
5272;;Mediadesign Hochschule Berlin in Düsseldorf (Priv. FH)  ;20171;99999;
5280;;Hochschule der Wirtschaft (Nordakademie) Elmshorn (Priv. FH);20171;99999;
5312;;Hochschule Braunschweig-Wolfenbüttel in Wolfenbüttel (FH);20171;99999;
5313;;Hochschule Braunschweig-Wolfenbüttel in Wolfsburg (FH);20171;99999;
5314;;Hochschule Braunschweig-Wolfenbüttel in Salzgitter (FH);20171;99999;
5315;;Hochschule Braunschweig-Wolfenbüttel in Suderburg (FH);20171;99999;
5330;;Hochschule Hannover (FH);20171;99999;
5381;;Hochschule Hildesheim/Holzminden/Göttingen in Göttingen (FH);20171;99999;
5382;;Hochschule Hildesheim/Holzminden/Göttingen in Hildesheim (FH);20171;99999;
5385;;Hochschule Hildesheim/Holzminden/Göttingen in Holzminden (FH);20171;99999;
5391;;Fachhochschule für die Wirtschaft Hannover (FHDW) (Priv. FH);20202;99999;
5392;;Fachhochschule für die Wirtschaft Hannover in Celle (Priv. FH);20171;99999;
5400;;Private Hochschule Göttingen (Priv. FH);20171;99999;
5411;;H für Wirtschaft und Technik Vechta/Diepholz in Diepholz (Priv. FH);20182;99999;
5412;;H für Wirtschaft und Technik Vechta/Diepholz in Vechta (Priv. FH);20182;99999;
5413;;H für Wirtschaft und Technik Vechta/Diepholz/Oldenburg in Oldenburg (Priv. FH);20171;99999;
5430;;FH Ottersberg (Priv. FH);20171;99999;
5501;;Hochschule Osnabrück in Osnabrück (FH);20171;99999;
5503;;Hochschule Osnabrück in Lingen (FH);20171;99999;
5660;;H Bremerhaven (FH);20171;99999;
5670;;H für öffentliche Verwaltung Bremen (Verw-FH);20171;99999;
5680;;H Bremen (FH);20171;99999;
5690;;International School of Management Dortmund in Dortmund (Priv. FH);20182;99999;
5691;;International School of Management Dortmund in München (Priv. FH);20182;99999;
